age,balance,job,housing,loan,subscribed
50,-423,blue-collar,yes,no,0
30,2789,retired,yes,no,0
21,2799,admin.,yes,no,0
60,-599,services,no,yes,0
45,2852,admin.,yes,no,0
38,2409,blue-collar,no,no,0
46,4520,admin.,yes,no,0
56,2638,technician,no,no,0
18,3617,services,yes,yes,0
40,2454,services,no,no,0
31,3460,management,no,no,1
22,-1074,management,yes,no,1
19,1257,blue-collar,no,no,0
40,1422,admin.,yes,no,0
46,1013,services,no,no,1
44,2388,management,no,no,0
58,2769,services,yes,yes,0
41,2285,blue-collar,yes,no,0
48,1146,student,yes,no,0
60,29,admin.,no,no,0
52,3694,services,no,no,1
65,2199,blue-collar,yes,no,0
29,-537,management,yes,no,0
58,1113,technician,yes,no,0
54,-1987,management,no,no,0
48,1571,admin.,yes,yes,0
18,1103,services,yes,no,1
46,351,blue-collar,no,yes,0
62,4669,management,yes,no,0
51,-812,admin.,no,no,0
18,2913,admin.,yes,no,0
32,5873,management,yes,no,0
47,3655,admin.,no,no,0
60,1437,blue-collar,yes,no,0
41,-768,student,yes,no,1
62,-1224,student,no,no,0
59,677,retired,no,no,0
31,126,blue-collar,no,yes,0
28,61,services,yes,no,1
64,847,management,yes,no,1
48,1296,blue-collar,yes,no,0
62,2470,management,no,no,0
65,-976,admin.,no,no,0
40,136,retired,yes,no,1
20,1181,services,no,no,0
65,1109,technician,yes,yes,0
48,5173,technician,no,no,0
24,1964,blue-collar,yes,yes,0
45,-1727,technician,yes,no,0
19,2336,management,no,no,1
33,2591,services,no,no,0
36,1250,services,yes,no,0
41,-927,blue-collar,yes,no,1
47,5016,management,no,yes,0
61,-640,technician,yes,no,0
36,2822,blue-collar,no,no,0
56,1900,retired,no,no,0
66,2702,technician,yes,no,0
56,4914,services,yes,no,0
31,2623,unemployed,yes,no,0
53,383,technician,no,no,0
32,3712,retired,yes,no,0
42,238,management,no,yes,0
51,1827,services,yes,no,0
33,-1086,blue-collar,no,yes,0
18,-567,admin.,yes,no,0
61,1603,technician,yes,yes,0
55,2236,admin.,no,no,0
24,-1905,admin.,no,no,0
37,2495,services,yes,no,0
31,-139,management,yes,no,0
68,4059,blue-collar,no,no,0
66,796,management,yes,no,0
53,-747,retired,yes,no,0
40,1652,management,yes,yes,0
20,-332,student,yes,no,0
30,4038,management,no,no,0
22,1501,blue-collar,no,no,0
59,1197,technician,yes,no,0
22,2684,retired,no,no,1
53,-510,management,yes,no,0
67,-1078,student,no,no,0
34,2317,unemployed,yes,no,0
53,-699,blue-collar,yes,no,0
63,-700,blue-collar,no,no,0
40,3174,management,yes,no,0
41,2550,admin.,yes,no,0
28,-1008,services,yes,no,1
40,262,student,no,no,0
63,-307,services,yes,no,0
52,5053,blue-collar,no,no,1
28,3312,management,no,yes,1
45,658,blue-collar,no,no,0
54,2652,retired,yes,no,0
22,-1212,admin.,no,yes,0
57,155,retired,yes,yes,0
28,1710,technician,no,no,0
33,2404,technician,no,no,0
39,1305,technician,yes,no,0
44,1996,blue-collar,no,no,0
65,1657,technician,yes,no,1
29,1173,student,yes,no,0
31,908,student,yes,yes,1
37,647,blue-collar,no,yes,0
62,1964,management,no,no,0
68,2322,retired,no,no,0
41,1897,student,yes,no,1
54,-857,technician,no,no,0
65,-498,admin.,no,no,0
62,2298,retired,no,no,1
53,4443,technician,yes,no,0
46,1805,technician,yes,yes,0
69,677,management,no,no,1
30,1949,blue-collar,yes,no,0
36,-774,student,yes,no,0
55,4118,admin.,yes,no,1
19,1873,management,yes,no,0
44,161,unemployed,yes,no,0
62,1166,unemployed,yes,no,0
27,446,retired,no,yes,0
59,4123,retired,no,no,0
39,1096,blue-collar,yes,no,0
62,1811,unemployed,yes,no,0
51,2647,retired,no,no,0
26,18,services,yes,yes,0
56,1887,technician,no,no,0
20,2049,admin.,no,no,0
30,-1608,services,yes,no,0
64,2005,management,yes,no,0
63,1408,technician,yes,yes,0
20,1760,technician,no,no,0
37,1571,services,yes,no,0
22,2018,admin.,no,no,1
32,4175,unemployed,no,no,0
68,-859,blue-collar,no,no,0
28,816,blue-collar,no,no,0
51,2833,admin.,yes,no,0
59,2462,retired,yes,no,0
63,2419,retired,no,no,0
36,7007,admin.,yes,yes,0
54,2728,blue-collar,yes,no,0
43,3762,technician,yes,no,0
23,886,blue-collar,yes,no,0
29,-486,management,no,no,0
56,871,admin.,yes,no,0
53,2924,services,no,no,1
45,2314,technician,no,no,0
58,2307,technician,yes,no,0
53,1071,technician,no,yes,0
35,752,blue-collar,yes,no,0
33,1140,blue-collar,yes,no,0
67,2949,admin.,yes,yes,0
68,3181,admin.,yes,no,0
19,-512,unemployed,yes,no,0
59,3025,blue-collar,yes,no,0
24,199,blue-collar,yes,no,0
62,2438,blue-collar,yes,no,0
48,1116,management,no,no,0
53,4632,retired,yes,yes,1
54,664,student,no,no,1
49,1857,services,no,yes,0
31,2713,student,no,no,0
59,-248,technician,no,no,0
46,1354,retired,no,no,1
46,967,student,no,no,0
34,472,admin.,no,no,0
18,621,technician,no,no,0
46,3724,blue-collar,yes,no,0
35,303,admin.,no,no,0
52,2633,student,no,yes,0
36,2129,admin.,yes,no,1
68,-1294,management,yes,no,0
53,2538,unemployed,no,no,1
41,-1327,technician,no,no,0
54,2756,technician,yes,no,0
51,486,services,yes,no,0
50,1517,student,yes,no,0
48,-1089,blue-collar,no,no,0
66,1745,blue-collar,no,no,0
34,3354,services,no,yes,1
40,-114,retired,yes,no,0
31,286,blue-collar,yes,no,0
47,2409,technician,no,no,0
69,2459,unemployed,no,no,0
49,-2000,blue-collar,yes,no,0
28,5531,admin.,yes,no,0
65,2557,services,yes,no,0
59,2894,admin.,no,no,1
40,1213,blue-collar,no,no,0
25,-2000,services,yes,no,0
38,2849,management,no,no,1
59,370,technician,no,no,1
48,2588,technician,no,no,1
27,1062,services,yes,no,1
26,1976,management,yes,no,1
68,-50,student,no,no,1
41,3229,student,no,yes,0
53,-877,management,no,no,0
36,5991,retired,no,no,0
22,5976,student,yes,no,0
39,4765,blue-collar,yes,no,0
54,4051,unemployed,yes,yes,0
35,1331,retired,no,no,0
49,3833,blue-collar,yes,no,0
40,1308,admin.,no,no,0
35,-1607,services,no,no,0
31,4506,technician,no,yes,0
31,3758,management,no,no,1
31,1437,services,no,no,1
55,-950,admin.,yes,yes,0
35,328,blue-collar,no,no,1
56,-2000,retired,yes,yes,1
34,3390,admin.,yes,no,1
35,-1707,management,no,no,0
66,2074,blue-collar,no,no,0
63,-187,technician,yes,yes,0
38,-1353,services,yes,yes,0
31,1977,blue-collar,yes,no,0
55,832,management,no,no,0
21,3176,management,no,no,0
41,-1035,admin.,yes,no,0
49,-15,technician,no,no,1
53,-2000,management,no,no,0
23,-2000,management,no,no,1
18,5096,services,yes,no,0
32,5667,management,no,no,0
24,1685,admin.,yes,no,0
44,-148,admin.,yes,no,0
65,903,management,yes,no,0
32,3247,management,yes,no,0
41,471,student,no,no,0
29,1975,blue-collar,yes,no,0
20,1474,technician,yes,no,0
54,362,management,yes,no,0
31,448,blue-collar,yes,no,1
46,2087,technician,no,no,0
53,-454,services,yes,no,0
61,2403,blue-collar,yes,yes,0
27,557,technician,no,no,0
48,1755,blue-collar,yes,yes,0
65,4268,retired,no,yes,0
43,1164,blue-collar,no,no,0
20,3340,blue-collar,no,yes,0
31,-2000,admin.,no,yes,0
59,559,admin.,yes,no,1
59,1555,blue-collar,no,no,1
34,5347,services,no,yes,0
28,-2000,admin.,yes,yes,0
33,1308,blue-collar,no,no,0
30,4413,admin.,yes,no,0
56,-70,technician,no,no,0
61,1074,admin.,no,no,0
20,2163,services,yes,no,0
56,1869,management,no,no,0
57,4632,management,no,no,0
49,2397,blue-collar,no,no,1
63,4156,retired,yes,no,0
20,780,management,no,no,0
54,19,admin.,no,no,0
24,1049,technician,yes,no,1
64,-818,management,no,yes,0
43,2467,blue-collar,no,no,0
22,728,technician,no,yes,0
56,156,services,no,no,0
56,2497,admin.,yes,no,0
42,-787,unemployed,no,no,0
34,3041,blue-collar,no,yes,0
18,543,admin.,yes,no,0
65,3818,admin.,yes,no,0
27,715,technician,yes,no,0
61,2764,retired,no,no,0
48,1859,student,yes,no,0
53,2988,retired,no,no,0
54,1720,services,no,no,0
62,-1827,technician,no,no,0
19,3518,technician,yes,yes,0
69,1325,admin.,no,no,0
20,3079,retired,yes,yes,0
69,2880,technician,no,no,0
31,-47,technician,yes,no,0
61,-330,technician,no,no,0
22,2811,student,yes,no,0
41,894,blue-collar,yes,no,0
46,3373,management,no,no,0
67,1144,management,yes,yes,0
24,3547,student,no,no,0
19,2347,admin.,no,no,0
51,2076,blue-collar,yes,no,0
20,752,technician,yes,no,0
58,1965,retired,no,no,0
19,3886,unemployed,no,no,1
68,1392,services,no,no,0
45,2562,blue-collar,yes,no,1
67,1593,blue-collar,no,no,0
24,1749,services,yes,no,0
32,4947,blue-collar,no,no,0
41,3903,services,no,no,0
19,1659,student,no,no,0
23,1929,technician,yes,no,1
35,96,technician,yes,no,0
56,1154,admin.,yes,no,1
54,2119,blue-collar,yes,yes,0
22,3201,management,yes,yes,0
21,2998,technician,no,no,0
52,-719,blue-collar,yes,yes,0
36,3454,admin.,yes,yes,0
59,1322,admin.,no,no,0
33,-474,management,yes,no,0
36,4173,services,yes,yes,0
29,4427,technician,no,no,0
31,2027,technician,yes,no,0
54,2918,blue-collar,yes,no,1
42,3035,technician,no,no,0
52,4292,admin.,yes,no,0
22,2956,retired,yes,no,0
45,-1155,admin.,yes,no,0
41,5520,technician,yes,yes,1
65,3631,admin.,no,no,1
40,481,student,yes,no,0
23,-559,blue-collar,yes,yes,0
54,2510,retired,yes,yes,0
25,943,admin.,no,no,0
65,2160,student,yes,no,0
37,2987,management,no,no,1
58,367,blue-collar,yes,yes,0
52,-732,blue-collar,no,no,0
42,2272,technician,yes,no,0
48,433,student,yes,no,0
27,1792,retired,yes,no,0
21,-1187,blue-collar,yes,no,0
57,996,technician,no,no,0
67,2930,blue-collar,no,yes,0
62,2712,blue-collar,no,no,1
33,-77,management,yes,no,0
36,-837,technician,no,no,1
36,1532,blue-collar,yes,no,0
54,2622,retired,no,no,0
50,2310,management,no,no,0
59,476,management,no,no,1
67,2096,admin.,no,no,0
38,4505,retired,no,no,0
52,1910,services,no,no,0
44,-1766,technician,yes,no,0
67,1906,admin.,no,no,0
36,5588,retired,yes,no,0
27,-1075,services,yes,no,0
37,1559,student,no,no,0
50,1047,management,yes,no,0
67,1692,student,no,yes,0
61,1889,management,yes,no,1
18,3780,retired,yes,yes,0
44,1670,blue-collar,no,no,0
26,4055,blue-collar,yes,no,0
36,1265,management,no,no,0
67,800,technician,no,no,0
69,162,services,no,no,1
25,-2000,management,yes,no,0
25,2052,services,no,no,1
54,5608,student,yes,no,0
39,2416,blue-collar,yes,no,0
40,2873,retired,yes,no,0
63,674,admin.,yes,no,0
65,1011,services,yes,no,0
64,3469,retired,yes,no,0
58,5517,blue-collar,yes,no,0
68,4476,blue-collar,no,no,1
55,3110,blue-collar,yes,no,0
64,1570,services,yes,no,0
46,1919,technician,yes,no,1
20,-7,admin.,yes,no,0
60,-1396,retired,no,no,0
66,-754,blue-collar,no,no,0
34,1600,services,no,no,0
40,916,services,no,yes,0
47,-1439,admin.,yes,no,0
51,1425,admin.,no,no,0
53,863,unemployed,yes,no,1
38,-846,management,yes,no,0
62,760,admin.,yes,yes,1
60,858,student,yes,no,0
66,267,technician,no,no,0
47,3353,admin.,yes,no,0
22,-2000,management,yes,no,1
61,-2000,technician,yes,no,0
22,1507,blue-collar,no,no,0
28,1692,retired,no,yes,0
32,2308,blue-collar,no,no,0
27,422,blue-collar,no,yes,0
55,-336,blue-collar,no,no,0
40,1485,management,yes,no,0
29,617,management,yes,no,0
18,4602,retired,yes,no,1
29,852,blue-collar,yes,no,0
54,1394,student,no,yes,1
59,6451,services,yes,no,0
33,1110,blue-collar,yes,no,1
21,2612,admin.,no,no,0
46,2793,student,yes,no,0
58,2963,blue-collar,yes,no,0
21,2079,services,yes,no,0
59,1888,services,no,no,0
26,1701,admin.,yes,no,0
31,348,unemployed,yes,no,0
50,2151,student,yes,no,1
20,5557,technician,no,no,0
33,3921,management,yes,no,0
25,2108,technician,yes,no,1
29,3212,management,no,no,0
58,-238,blue-collar,no,no,0
29,979,technician,yes,no,0
20,3396,blue-collar,yes,no,0
29,4474,technician,yes,yes,1
22,-42,technician,no,no,1
50,533,blue-collar,yes,no,0
68,5863,unemployed,no,no,0
26,1693,admin.,no,no,0
55,5147,admin.,no,no,0
36,1914,technician,yes,no,0
21,1992,services,no,no,1
53,889,blue-collar,no,no,0
28,3385,services,no,no,0
44,4216,management,yes,no,0
44,-570,admin.,no,no,1
49,795,unemployed,no,no,0
25,3330,blue-collar,no,yes,0
31,1241,management,no,no,0
56,513,admin.,yes,no,0
66,3519,management,yes,yes,0
18,3707,student,no,no,0
39,601,admin.,no,no,0
63,1925,blue-collar,no,no,0
32,-917,blue-collar,yes,no,0
41,-291,admin.,yes,no,0
65,1748,unemployed,no,no,0
68,1563,services,no,no,0
52,-434,services,yes,no,0
54,68,unemployed,yes,no,0
49,-630,student,no,no,0
32,2410,student,yes,no,0
64,-2000,blue-collar,yes,no,0
19,-523,blue-collar,yes,no,0
21,-2000,blue-collar,yes,no,1
49,2338,technician,yes,no,0
61,-2000,technician,no,no,0
60,1563,blue-collar,no,yes,1
53,4779,technician,no,yes,0
37,4847,technician,no,no,0
36,-2000,blue-collar,yes,no,0
40,2097,blue-collar,yes,no,0
31,-478,technician,yes,yes,0
39,-886,technician,yes,no,0
23,1273,management,no,no,0
34,3957,management,yes,no,1
66,2699,blue-collar,no,no,0
54,70,admin.,yes,no,0
25,2910,blue-collar,yes,no,0
32,-2000,blue-collar,yes,no,0
31,-6,technician,yes,no,1
32,-148,unemployed,no,no,0
53,1657,blue-collar,no,no,0
64,1094,blue-collar,yes,no,0
54,1217,management,no,no,0
43,1151,technician,no,no,0
26,1545,admin.,yes,no,0
25,2580,blue-collar,yes,no,0
60,1799,retired,yes,no,0
53,931,admin.,yes,no,1
44,2303,services,no,no,1
48,3152,student,yes,yes,0
62,388,blue-collar,yes,no,1
60,1381,management,no,no,0
22,3824,blue-collar,yes,no,0
38,-706,blue-collar,no,no,0
20,5109,blue-collar,yes,no,0
38,-1178,unemployed,yes,yes,0
51,809,blue-collar,yes,no,1
28,-400,blue-collar,yes,yes,0
25,5876,retired,yes,no,0
43,493,blue-collar,no,no,0
45,498,retired,no,no,0
55,759,management,no,no,0
18,1691,services,yes,no,0
30,843,management,no,no,0
58,1234,management,yes,yes,0
53,-2000,admin.,no,no,1
64,1614,unemployed,no,no,0
60,1536,retired,no,no,1
61,3577,retired,yes,yes,1
44,4118,services,no,yes,0
67,1125,services,no,no,0
39,3132,services,yes,no,1
64,-703,admin.,no,no,1
38,3035,technician,yes,no,0
41,355,services,yes,no,0
53,-869,management,no,no,1
38,1129,blue-collar,no,no,0
25,4301,technician,yes,no,0
64,1862,services,yes,no,0
41,4493,technician,yes,no,0
66,3,unemployed,yes,no,1
38,3596,management,yes,no,0
68,196,admin.,yes,no,0
49,1951,admin.,no,no,0
57,1933,management,yes,no,0
57,2823,technician,yes,no,0
28,2001,student,yes,no,0
60,22,blue-collar,yes,no,0
67,3261,admin.,yes,no,0
52,4963,technician,yes,no,0
67,332,management,yes,no,0
61,-2000,unemployed,yes,yes,0
52,2499,retired,no,no,0
42,838,technician,no,no,0
62,1238,student,yes,yes,0
27,2612,admin.,yes,yes,0
47,587,services,yes,no,0
60,962,retired,yes,no,0
67,1300,technician,no,no,0
31,4440,unemployed,no,yes,0
22,1560,blue-collar,yes,no,0
35,-971,admin.,yes,no,0
62,-892,services,yes,no,0
45,1778,retired,yes,no,0
20,-759,blue-collar,no,no,0
24,-1625,student,yes,yes,0
35,2771,blue-collar,yes,no,0
35,2869,management,yes,no,0
25,764,services,yes,no,0
43,2087,blue-collar,yes,no,0
42,1876,management,yes,no,0
28,2705,management,yes,no,1
30,2709,technician,yes,no,0
52,-2000,blue-collar,no,no,1
67,1019,blue-collar,yes,yes,1
69,2536,unemployed,yes,no,0
47,679,management,no,no,0
20,1572,student,yes,no,1
64,3001,management,no,no,0
67,1662,student,no,no,0
32,4516,blue-collar,yes,no,0
38,3754,technician,yes,no,0
19,1263,management,no,yes,1
59,1104,admin.,yes,no,0
58,-2000,blue-collar,yes,no,1
19,847,services,no,no,0
54,-1207,retired,yes,no,1
39,1942,management,no,no,0
46,1806,admin.,no,no,0
29,2892,unemployed,no,no,0
60,4293,blue-collar,no,no,1
39,1447,blue-collar,no,no,1
61,6061,unemployed,yes,no,0
