survived,pclass,sex,age,fare,embarked
0,3,male,0.5,49.66,S
0,3,male,43.5,35.89,S
0,1,male,12.4,16.57,S
1,3,male,33.6,20.15,C
1,3,male,32.5,22.58,S
1,3,female,,24.96,S
1,3,female,36.7,8.9,S
0,3,female,0.5,7.96,S
0,3,male,,11.79,C
1,3,female,30.9,11.26,S
0,3,female,26.3,13.65,C
1,2,male,35.7,29.4,C
1,2,male,,18.15,S
1,2,male,37.5,22.6,S
1,1,male,,9.64,S
1,1,male,,15.23,S
1,3,male,,28.57,S
1,2,male,34.8,28.7,Q
1,3,female,13.7,13.0,S
0,3,female,37.8,22.13,C
1,1,male,41.7,75.14,S
1,1,female,30.8,19.87,Q
1,1,female,0.5,13.25,S
0,3,male,11.1,18.1,S
0,1,male,55.4,21.23,S
1,3,male,,18.34,S
0,3,male,1.2,19.71,C
0,3,female,46.3,8.45,S
1,1,male,29.2,11.27,S
1,1,male,44.5,18.36,S
1,1,male,32.9,18.19,S
1,1,male,35.4,14.3,S
1,1,female,34.1,18.06,S
0,3,male,38.8,20.83,S
1,3,male,60.9,34.25,S
0,3,male,,18.92,S
0,3,male,6.9,25.52,Q
1,1,male,,14.51,S
1,3,male,45.0,28.31,S
0,3,male,45.8,25.16,S
0,3,male,,33.77,S
0,3,female,,30.82,S
0,2,male,42.0,28.6,S
0,1,male,,18.93,S
1,1,female,18.5,23.27,S
1,2,female,21.9,38.02,S
0,3,male,24.7,13.58,Q
0,2,male,,13.78,S
0,3,male,16.5,22.4,S
1,3,male,0.5,25.77,S
1,1,female,,12.25,S
1,2,male,34.2,19.2,S
1,3,female,22.1,18.98,S
1,3,female,56.1,5.32,S
0,2,male,29.2,17.61,S
1,1,female,47.1,18.28,S
0,3,male,32.7,18.24,Q
0,1,female,40.6,46.97,S
0,3,male,32.9,9.68,C
0,1,male,48.2,12.25,S
0,1,male,,4.19,Q
1,3,male,35.9,15.05,S
1,3,male,,15.84,S
0,3,female,25.0,14.79,C
0,2,male,,39.04,S
0,3,male,,33.66,S
0,3,male,25.2,21.05,Q
0,3,male,34.9,16.08,S
0,2,male,46.6,37.18,S
1,1,female,,19.85,S
0,3,male,29.2,12.29,C
0,1,male,0.5,7.17,C
0,3,male,36.2,15.41,S
0,1,male,0.5,31.59,S
1,3,male,49.6,78.72,S
1,3,female,31.4,20.84,S
1,3,male,43.0,12.69,C
1,3,female,16.4,9.87,S
0,1,male,7.3,27.97,S
0,3,male,32.7,6.97,S
1,3,female,,27.94,S
1,3,female,22.1,32.81,C
1,2,female,30.2,26.1,S
1,3,female,67.7,17.61,S
1,3,female,40.7,28.19,C
0,3,female,43.7,22.25,Q
1,2,male,,12.59,S
0,3,female,,60.96,Q
1,3,male,,16.26,S
0,3,male,0.5,31.99,C
1,2,female,,4.71,S
1,2,female,40.4,43.2,S
0,3,female,15.4,48.49,S
0,3,male,26.5,20.45,S
0,3,female,19.3,28.09,S
1,3,female,50.0,28.08,S
1,1,male,,13.66,S
1,3,male,38.1,27.89,S
0,1,male,,12.36,S
1,1,female,,13.94,S
0,3,male,31.8,39.49,Q
1,3,female,,36.05,Q
1,3,male,0.5,13.15,S
1,2,female,31.1,12.93,S
0,1,male,33.5,13.64,S
1,3,female,45.9,31.17,S
0,1,male,51.0,11.02,C
0,1,male,51.0,24.88,S
1,2,female,15.0,31.44,S
0,3,female,24.1,19.05,S
1,3,female,35.7,36.82,S
0,3,male,64.4,16.73,C
0,3,male,49.7,17.67,S
1,1,male,,11.17,S
1,2,male,23.6,36.98,S
1,3,female,16.6,12.68,Q
1,1,female,40.0,24.78,S
