date,day,weather,accidents,severity
2025-01-01,Wednesday,rain,17,minor
2025-01-02,Thursday,clear,11,minor
2025-01-03,Friday,rain,15,minor
2025-01-04,Saturday,clear,12,major
2025-01-05,Sunday,clear,14,minor
2025-01-06,Monday,fog,15,major
2025-01-07,Tuesday,rain,16,minor
2025-01-08,Wednesday,clear,10,minor
2025-01-09,Thursday,fog,11,major
2025-01-10,Friday,clear,16,minor
2025-01-11,Saturday,clear,16,minor
2025-01-12,Sunday,clear,13,minor
2025-01-13,Monday,clear,13,minor
2025-01-14,Tuesday,fog,18,minor
2025-01-15,Wednesday,clear,13,minor
2025-01-16,Thursday,clear,6,minor
2025-01-17,Friday,rain,21,minor
2025-01-18,Saturday,rain,15,minor
2025-01-19,Sunday,fog,17,minor
2025-01-20,Monday,fog,12,major
2025-01-21,Tuesday,fog,13,minor
2025-01-22,Wednesday,clear,13,minor
2025-01-23,Thursday,clear,8,fatal
2025-01-24,Friday,fog,14,major
2025-01-25,Saturday,clear,17,minor
2025-01-26,Sunday,clear,13,minor
2025-01-27,Monday,clear,9,minor
2025-01-28,Tuesday,clear,12,major
2025-01-29,Wednesday,clear,11,minor
2025-01-30,Thursday,fog,13,minor
2025-01-31,Friday,clear,10,minor
2025-02-01,Saturday,clear,16,minor
2025-02-02,Sunday,clear,16,minor
2025-02-03,Monday,rain,14,major
2025-02-04,Tuesday,clear,10,minor
2025-02-05,Wednesday,clear,12,minor
2025-02-06,Thursday,clear,10,major
2025-02-07,Friday,clear,12,minor
2025-02-08,Saturday,clear,18,minor
2025-02-09,Sunday,clear,15,minor
2025-02-10,Monday,clear,10,major
2025-02-11,Tuesday,clear,13,minor
2025-02-12,Wednesday,clear,12,major
2025-02-13,Thursday,clear,12,minor
2025-02-14,Friday,rain,17,minor
2025-02-15,Saturday,rain,20,minor
2025-02-16,Sunday,clear,15,minor
2025-02-17,Monday,clear,12,minor
2025-02-18,Tuesday,clear,16,minor
2025-02-19,Wednesday,clear,14,minor
2025-02-20,Thursday,rain,18,minor
2025-02-21,Friday,clear,12,major
2025-02-22,Saturday,clear,13,minor
2025-02-23,Sunday,rain,21,minor
2025-02-24,Monday,rain,16,minor
2025-02-25,Tuesday,fog,13,minor
2025-02-26,Wednesday,rain,16,major
2025-02-27,Thursday,clear,10,major
2025-02-28,Friday,clear,14,minor
2025-03-01,Saturday,clear,16,major
2025-03-02,Sunday,clear,15,minor
2025-03-03,Monday,clear,12,fatal
2025-03-04,Tuesday,clear,11,major
2025-03-05,Wednesday,clear,8,minor
2025-03-06,Thursday,rain,13,minor
2025-03-07,Friday,clear,11,major
2025-03-08,Saturday,clear,13,minor
2025-03-09,Sunday,rain,20,minor
2025-03-10,Monday,rain,18,minor
2025-03-11,Tuesday,clear,12,minor
2025-03-12,Wednesday,clear,15,minor
2025-03-13,Thursday,fog,12,minor
2025-03-14,Friday,clear,12,minor
2025-03-15,Saturday,clear,15,minor
2025-03-16,Sunday,fog,19,minor
2025-03-17,Monday,clear,12,minor
2025-03-18,Tuesday,clear,12,minor
2025-03-19,Wednesday,clear,9,minor
2025-03-20,Thursday,clear,10,minor
2025-03-21,Friday,clear,14,minor
2025-03-22,Saturday,clear,11,minor
2025-03-23,Sunday,clear,18,minor
2025-03-24,Monday,clear,13,minor
2025-03-25,Tuesday,rain,15,major
2025-03-26,Wednesday,rain,14,minor
2025-03-27,Thursday,clear,16,major
2025-03-28,Friday,rain,19,minor
2025-03-29,Saturday,clear,15,minor
2025-03-30,Sunday,clear,15,minor
2025-03-31,Monday,clear,11,minor
2025-04-01,Tuesday,rain,16,minor
2025-04-02,Wednesday,clear,11,major
2025-04-03,Thursday,clear,12,major
2025-04-04,Friday,clear,16,minor
2025-04-05,Saturday,clear,15,major
2025-04-06,Sunday,clear,13,minor
2025-04-07,Monday,clear,9,minor
2025-04-08,Tuesday,rain,16,major
2025-04-09,Wednesday,clear,10,minor
2025-04-10,Thursday,clear,12,minor
2025-04-11,Friday,rain,13,minor
2025-04-12,Saturday,rain,20,minor
2025-04-13,Sunday,fog,15,minor
2025-04-14,Monday,clear,12,minor
2025-04-15,Tuesday,clear,11,minor
2025-04-16,Wednesday,rain,19,minor
2025-04-17,Thursday,clear,12,major
2025-04-18,Friday,clear,16,minor
2025-04-19,Saturday,clear,16,minor
2025-04-20,Sunday,clear,18,minor
2025-04-21,Monday,clear,12,minor
2025-04-22,Tuesday,clear,13,minor
2025-04-23,Wednesday,clear,14,minor
2025-04-24,Thursday,clear,14,major
2025-04-25,Friday,clear,13,minor
2025-04-26,Saturday,rain,18,minor
2025-04-27,Sunday,clear,15,minor
2025-04-28,Monday,clear,14,major
2025-04-29,Tuesday,clear,15,minor
2025-04-30,Wednesday,clear,11,minor
2025-05-01,Thursday,fog,13,minor
2025-05-02,Friday,clear,10,minor
2025-05-03,Saturday,clear,17,minor
2025-05-04,Sunday,clear,13,minor
2025-05-05,Monday,clear,14,minor
2025-05-06,Tuesday,clear,13,minor
2025-05-07,Wednesday,rain,15,minor
2025-05-08,Thursday,clear,15,minor
2025-05-09,Friday,rain,13,minor
2025-05-10,Saturday,clear,18,minor
2025-05-11,Sunday,clear,16,minor
2025-05-12,Monday,rain,12,minor
2025-05-13,Tuesday,clear,15,minor
2025-05-14,Wednesday,rain,18,minor
2025-05-15,Thursday,clear,11,minor
2025-05-16,Friday,clear,10,minor
2025-05-17,Saturday,clear,12,minor
2025-05-18,Sunday,clear,20,minor
2025-05-19,Monday,rain,14,minor
2025-05-20,Tuesday,clear,9,minor
2025-05-21,Wednesday,clear,13,minor
2025-05-22,Thursday,rain,13,major
2025-05-23,Friday,rain,14,minor
2025-05-24,Saturday,rain,21,minor
2025-05-25,Sunday,rain,20,minor
2025-05-26,Monday,clear,11,major
2025-05-27,Tuesday,clear,12,minor
2025-05-28,Wednesday,storm,18,minor
2025-05-29,Thursday,clear,12,minor
2025-05-30,Friday,clear,10,minor
2025-05-31,Saturday,fog,16,minor
2025-06-01,Sunday,clear,14,major
2025-06-02,Monday,fog,13,minor
2025-06-03,Tuesday,clear,14,major
2025-06-04,Wednesday,rain,18,major
2025-06-05,Thursday,clear,10,major
2025-06-06,Friday,clear,10,major
2025-06-07,Saturday,rain,19,minor
2025-06-08,Sunday,clear,19,minor
2025-06-09,Monday,clear,10,minor
2025-06-10,Tuesday,fog,14,minor
2025-06-11,Wednesday,fog,14,minor
2025-06-12,Thursday,fog,14,major
2025-06-13,Friday,clear,11,minor
2025-06-14,Saturday,clear,17,minor
2025-06-15,Sunday,clear,16,minor
2025-06-16,Monday,clear,14,minor
